value_ms,qos,metric
199.71981400158256,standard,ttfb
15.804481001396198,standard,ttfb
5.311098000674974,standard,ttfb
5.072507003205828,standard,ttfb
4.92417699933867,standard,ttfb
4.892256001767237,standard,ttfb
62.9928079979436,standard,ttfb
5.60468299954664,standard,ttfb
110.1709149988892,standard,ttfb
5.474167002830654,standard,ttfb
78.21774200056097,standard,ttfb
15.632586000720039,standard,ttfb
99.61139699953492,standard,ttfb
6.606508999539074,standard,ttfb
93.14936100054183,standard,ttfb
99.88058700037072,standard,ttfb
83.9274040008604,standard,ttfb
115.80918199979351,standard,ttfb
5.470108997542411,standard,ttfb
5.326547001459403,standard,ttfb
189.10035299995798,standard,ttfb
99.36235500208568,standard,ttfb
5.430834000435425,standard,ttfb
94.12953600258334,standard,ttfb
5.230576000030851,standard,ttfb
5.460339998535346,standard,ttfb
5.359709997719619,standard,ttfb
5.012231998989591,standard,ttfb
5.6786940003803466,standard,ttfb
5.504854998434894,standard,ttfb
5.980944999464555,standard,ttfb
5.547434997424716,standard,ttfb
6.320809003227623,standard,ttfb
4.2689259971666615,standard,ttfb
3.585964001104003,standard,ttfb
3.084776999457972,standard,ttfb
3.344746997754555,standard,ttfb
133.38491300237365,standard,ttfb
5.259780999040231,standard,ttfb
94.56984899952658,standard,ttfb
199.59590899816249,standard,ttfb
5.369017999328207,standard,ttfb
4.980432000593282,standard,ttfb
4.976696000085212,standard,ttfb
183.9293800003361,standard,ttfb
5.188256000110414,standard,ttfb
5.184457997529535,standard,ttfb
4.993406997527927,standard,ttfb
167.93800500090583,standard,ttfb
6.48826500037103,standard,ttfb
4.889930998615455,standard,ttfb
4.8764849998406135,standard,ttfb
98.87400200022967,standard,ttfb
99.92443900046055,standard,ttfb
5.177945997274946,standard,ttfb
5.104988998937188,standard,ttfb
173.25620599876856,standard,ttfb
99.75759299777565,standard,ttfb
4.91395700009889,standard,ttfb
4.915720001008594,standard,ttfb
5.361753999750363,standard,ttfb
5.011740999179892,standard,ttfb
94.94662200086168,standard,ttfb
5.145905997778755,standard,ttfb
5.176272999960929,standard,ttfb
89.12889400016866,standard,ttfb
5.3232509999361355,standard,ttfb
5.064250999566866,standard,ttfb
5.981916998280212,standard,ttfb
5.775706998974783,standard,ttfb
176.8779079975502,standard,ttfb
4.792266001459211,standard,ttfb
79.00891800090903,standard,ttfb
99.85025900095934,standard,ttfb
15.562331998808077,standard,ttfb
184.1481429983105,standard,ttfb
5.352737000066554,standard,ttfb
5.421896999905584,standard,ttfb
5.258288001641631,standard,ttfb
83.12064799974905,standard,ttfb
15.926791998936096,standard,ttfb
99.71566400054144,standard,ttfb
99.72181500052102,standard,ttfb
84.07672600151272,standard,ttfb
299.8888750007609,standard,ttfb
5.111299997224705,standard,ttfb
5.040095998992911,standard,ttfb
89.15800899922033,standard,ttfb
4.76082699969993,standard,ttfb
595.0053199994727,standard,ttfb
4.499482998653548,standard,ttfb
6.429533998016268,standard,ttfb
4.78842899974552,standard,ttfb
4.6971970004960895,standard,ttfb
4.575866998493439,standard,ttfb
173.9519430011569,standard,ttfb
4.795212000317406,standard,ttfb
4.709680000814842,standard,ttfb
89.93812499829801,standard,ttfb
4.805130996828666,standard,ttfb
210.65127499969094,standard,ttfb
5.584064001595834,standard,ttfb
4.861027002334595,standard,ttfb
73.17692500146222,standard,ttfb
4.585774997394765,standard,ttfb
4.861356999754207,standard,ttfb
106.05370499979472,standard,ttfb
5.041497999627609,standard,ttfb
4.665356002078624,standard,ttfb
4.7075660004338715,standard,ttfb
84.97614799853181,standard,ttfb
5.07821799692465,standard,ttfb
94.64519999892218,standard,ttfb
5.588953998085344,standard,ttfb
93.87874099775217,standard,ttfb
199.5157970013679,standard,ttfb
4.170389998762403,standard,ttfb
4.710371998953633,standard,ttfb
4.460287997062551,standard,ttfb
70.620909002173,standard,ttfb
5.270450998068554,standard,ttfb
110.08643399691209,standard,ttfb
99.86622899668873,standard,ttfb
99.72951999952784,standard,ttfb
99.94150099737453,standard,ttfb
200.26456299819984,standard,ttfb
5.753495002863929,standard,ttfb
93.3929620005074,standard,ttfb
5.547245000343537,standard,ttfb
78.12257199839223,standard,ttfb
5.200188999879174,standard,ttfb
4.946156997903017,standard,ttfb
4.9030959999072365,standard,ttfb
100.11188299904461,standard,ttfb
4.925629000354093,standard,ttfb
4.604180998285301,standard,ttfb
89.79685800295556,standard,ttfb
283.9310529998329,standard,ttfb
100.29534000204876,standard,ttfb
5.899210002098698,standard,ttfb
93.24819700123044,standard,ttfb
4.294424998079194,standard,ttfb
4.7982370015233755,standard,ttfb
5.890413998713484,standard,ttfb
4.398632001539227,standard,ttfb
96.00550399773056,standard,ttfb
5.23407299988321,standard,ttfb
4.497388999880059,standard,ttfb
73.41729899781058,standard,ttfb
4.920057999697747,standard,ttfb
5.877560000953963,standard,ttfb
88.76391400190187,standard,ttfb
4.87010399956489,standard,ttfb
10.557233999861637,standard,ttfb
4.85174899949925,standard,ttfb
4.634949000319466,standard,ttfb
90.46157500051777,standard,ttfb
5.096001001220429,standard,ttfb
5.19464800163405,standard,ttfb
5.77949400030775,standard,ttfb
82.8005920011492,standard,ttfb
83.94603800115874,standard,ttfb
4.603530000167666,standard,ttfb
4.728566000267165,standard,ttfb
5.817485998704797,standard,ttfb
184.18474099962623,standard,ttfb
99.78772999966168,standard,ttfb
199.72734700058936,standard,ttfb
4.74667999878875,standard,ttfb
4.923033000522992,standard,ttfb
89.98683599929791,standard,ttfb
5.095249998703366,standard,ttfb
5.105318999994779,standard,ttfb
5.258127002889523,standard,ttfb
82.83578800183022,standard,ttfb
15.816603001439944,standard,ttfb
183.8431549986126,standard,ttfb
4.848502001550514,standard,ttfb
95.04207100326312,standard,ttfb
99.66369500034489,standard,ttfb
99.83349599860958,standard,ttfb
4.956496999511728,standard,ttfb
4.983148002793314,standard,ttfb
4.797878002136713,standard,ttfb
4.817814999114489,standard,ttfb
4.7285360014939215,standard,ttfb
4.575425999064464,standard,ttfb
4.708136999397539,standard,ttfb
4.558434000500711,standard,ttfb
160.3740739992645,standard,ttfb
5.376110999350203,standard,ttfb
294.3859520019032,standard,ttfb
4.737693001516163,standard,ttfb
4.713397000159603,standard,ttfb
605.8679870002379,standard,ttfb
5.117612003232352,standard,ttfb
94.45954900002107,standard,ttfb
5.084329000965226,standard,ttfb
78.8023470013286,standard,ttfb
15.635079998901347,standard,ttfb
184.01082099808264,standard,ttfb
5.537727000046289,standard,ttfb
5.647825000778539,standard,ttfb
5.453326997667318,standard,ttfb
5.4266170009213965,standard,ttfb
5.08194500071113,standard,ttfb
4.972748000000138,standard,ttfb
82.30004500001087,standard,ttfb
99.62585299945204,standard,ttfb
5.004818998713745,standard,ttfb
4.699351000454044,standard,ttfb
4.404823001095792,standard,ttfb
85.25764899968635,standard,ttfb
99.92942800090532,standard,ttfb
4.771107000124175,standard,ttfb
4.579112999635981,standard,ttfb
4.420874000061303,standard,ttfb
169.63790799854905,standard,ttfb
4.686186002800241,standard,ttfb
4.760026000440121,standard,ttfb
90.13687100014067,standard,ttfb
115.6921890033118,standard,ttfb
4.957959998137085,standard,ttfb
94.68945399930817,standard,ttfb
4.873238998698071,standard,ttfb
4.64784300129395,standard,ttfb
4.555398001684807,standard,ttfb
85.43675799955963,standard,ttfb
4.980974001227878,standard,ttfb
4.875804999755928,standard,ttfb
4.513208001299063,standard,ttfb
184.8958369992033,standard,ttfb
183.67733000195585,standard,ttfb
99.98060399811948,standard,ttfb
4.758391998620937,standard,ttfb
4.846397998335306,standard,ttfb
5.274860002828063,standard,ttfb
4.762800999742467,standard,ttfb
95.43173800193472,standard,ttfb
4.697897998994449,standard,ttfb
179.19096300101955,standard,ttfb
5.886095997993834,standard,ttfb
4.913095002848422,standard,ttfb
188.5511910004425,standard,ttfb
4.581146997225005,standard,ttfb
95.19989899854409,standard,ttfb
99.87343099783175,standard,ttfb
99.88707700176747,standard,ttfb
5.36454900066019,standard,ttfb
5.512239000381669,standard,ttfb
188.70779799908632,standard,ttfb
5.069831000582781,standard,ttfb
5.17426899750717,standard,ttfb
5.334511999535607,standard,ttfb
99.40671799995471,standard,ttfb
6.009298998833401,standard,ttfb
93.63431699966895,standard,ttfb
5.6703469999774825,standard,ttfb
4.969382000126643,standard,ttfb
5.165182003111113,standard,ttfb
83.671708998736,standard,ttfb
83.73133200075245,standard,ttfb
99.61662599744159,standard,ttfb
15.916521999315592,standard,ttfb
99.85944500294863,standard,ttfb
5.0073439997504465,standard,ttfb
4.665868000301998,standard,ttfb
4.655226999602746,standard,ttfb
84.97490499939886,standard,ttfb
184.0394950013433,standard,ttfb
15.61373000004096,standard,ttfb
4.756638998514973,standard,ttfb
95.09451900157728,standard,ttfb
199.68200899893418,standard,ttfb
5.968691999441944,standard,ttfb
4.893517998425523,standard,ttfb
4.63588099955814,standard,ttfb
4.747371000121348,standard,ttfb
4.710912002337864,standard,ttfb
74.05378300245502,standard,ttfb
99.80204499879619,standard,ttfb
4.834395997022511,standard,ttfb
4.620962001354201,standard,ttfb
4.6893020007701125,standard,ttfb
4.69801800136338,standard,ttfb
180.33229099819437,standard,ttfb
4.835448999074288,standard,ttfb
94.80985100162798,standard,ttfb
4.8514280024392065,standard,ttfb
4.714259001048049,standard,ttfb
5.772260999947321,standard,ttfb
4.685635001806077,standard,ttfb
79.34843000111869,standard,ttfb
99.72865699819522,standard,ttfb
99.70171600070898,standard,ttfb
199.85376299882773,standard,ttfb
4.6544559991161805,standard,ttfb
94.9010440017446,standard,ttfb
100.05163800087757,standard,ttfb
5.193935998249799,standard,ttfb
78.37656099945889,standard,ttfb
4.618708000634797,standard,ttfb
4.842963000555756,standard,ttfb
106.10561200155644,standard,ttfb
5.803329000627855,standard,ttfb
4.6043809998082,standard,ttfb
4.49650700102211,standard,ttfb
68.51914200160536,standard,ttfb
5.047159000241663,standard,ttfb
5.209405000641709,standard,ttfb
5.009636999602662,standard,ttfb
4.272001999197528,standard,ttfb
179.5874029994593,standard,ttfb
4.579655000270577,standard,ttfb
11.2436820018047,standard,ttfb
99.67094700186863,standard,ttfb
4.794411001057597,standard,ttfb
4.749185001855949,standard,ttfb
4.725710998172872,standard,ttfb
85.12557799986098,standard,ttfb
4.68756900227163,standard,ttfb
4.505033000896219,standard,ttfb
4.701895999460248,standard,ttfb
269.4142950022069,standard,ttfb
4.794772001332603,standard,ttfb
4.85205899894936,standard,ttfb
5.65093099794467,standard,ttfb
4.807676003110828,standard,ttfb
4.6482739999191836,standard,ttfb
290.54748700218624,standard,ttfb
599.6091509987309,standard,ttfb
299.8941689984349,standard,ttfb
4.895892001513857,standard,ttfb
4.727033003291581,standard,ttfb
4.658712998207193,standard,ttfb
4.373494997707894,standard,ttfb
64.49047899877769,standard,ttfb
4.731512002763338,standard,ttfb
5.007372998079518,standard,ttfb
89.92233300159569,standard,ttfb
115.68007499954547,standard,ttfb
199.67827900109114,standard,ttfb
199.96213800186524,standard,ttfb
99.79325799940852,standard,ttfb
5.673544001183473,standard,ttfb
4.504171000007773,standard,ttfb
89.20833299998776,standard,ttfb
